periodIndex,sampleEvent,arrivalEvent,requestStartWaiting,requestType,requestWaitingTime,totalInQueue,requestProcessed,totalTimeInSystem,numberOfServers,requestCancelled,nextPeriodOptimalServers
34,72000.0,64350.0,64350.0,0.6693084693084693,0.7782844636987979,14.319052059052058,64350.0,2.4467790080249916,32.0,2.0,34
35,72000.0,67569.0,67569.0,0.6666222676079268,0.6115982781791616,11.862481315396114,67569.0,2.2784779029949127,33.0,,32
36,72000.0,65138.0,65138.0,0.6622708710737204,0.901025050874747,16.727363443765544,65136.0,2.5627725455061054,33.0,6.0,32
37,72000.0,63468.0,63468.0,0.6662097434927837,0.6067576334449138,11.088737631562362,63467.0,2.2715078336113472,32.0,,32
38,72000.0,63396.0,63396.0,0.6686383998990473,0.6151498179771727,11.228247838980378,63402.0,2.283273895180643,32.0,,30
39,72000.0,61449.0,61449.0,0.6615567381080245,1.1397720452655602,19.922390925808394,61450.0,2.802589399580817,31.0,8.0,30
40,72000.0,61433.0,61433.0,0.6666612407012518,1.1340494680517592,19.821675646639427,61418.0,2.801101086385871,30.0,11.0,30
41,72000.0,60522.0,60522.0,0.6717557251908397,0.8923411016755616,15.453504510756419,60531.0,2.5645642872793664,30.0,1.0,30
42,72001.0,60315.0,60315.0,0.6634170604327282,0.7847017092797968,13.600828981182127,60317.0,2.4486552080414015,30.0,1.0,32
43,72000.0,63680.0,63680.0,0.667949120603015,0.6253597783666726,11.46303391959799,63671.0,2.2942546126640124,31.0,,34
44,72000.0,68115.0,68115.0,0.6688101005652206,0.7351802940941645,14.303941863025765,68117.0,2.404927745645717,33.0,,32
45,72000.0,65482.0,65482.0,0.6666870284963807,1.0862261455730213,20.190052228093215,65474.0,2.7528765667045896,33.0,10.0,29
46,72000.0,58673.0,58673.0,0.667683602338384,0.9066241261731378,15.240792187207063,58679.0,2.5731717248730828,30.5,2.0,28
47,72000.0,53962.0,53962.0,0.6691004781142286,0.42221003245942385,6.719265408991513,53974.0,2.091894979518481,28.5,,28
48,72000.0,44909.0,44909.0,0.6669932530227795,0.03859543911288012,0.6106348393417801,44918.0,1.7047367168045096,28.0,,19
49,72000.0,34708.0,34708.0,0.6635069724559179,0.28324153951184106,3.1070358418808346,34717.0,1.9459676840405522,23.5,,20
50,72000.0,31970.0,31970.0,0.6607444479199249,0.06849476193006546,0.7839224272755708,31971.0,1.729611698497735,19.5,,20
51,72000.0,32471.0,32471.0,0.6711219241784977,0.08557951992255954,0.9782575220966401,32470.0,1.7562131622466546,20.0,,20
52,72000.0,32285.0,32285.0,0.6667802385008518,0.07214916069688161,0.8357441536317175,32287.0,1.737279215124422,20.0,,20
53,72000.0,40088.0,40088.0,0.6654110955897027,0.9309086210261827,10.892835761325085,40078.0,2.5960259689537915,20.0,2.0,28
54,72000.0,51281.0,51281.0,0.6662116573389755,0.21541287873956236,3.3857959088161307,51277.0,1.8815157990239173,24.0,,30
55,72000.0,59989.0,59989.0,0.6651386087449366,0.6970121508116391,12.040224041074197,59979.0,2.361411934685212,29.0,,32
56,72000.0,66054.0,66054.0,0.6667272231810337,1.2882280052429649,24.080555303236746,66045.0,2.954638353805173,31.0,30.0,34
57,72000.0,68443.0,68443.0,0.66855631693526,0.7899565907170119,15.421883903394065,68443.0,2.458402882044807,33.0,,36
58,72000.0,72000.0,72000.0,0.6666111111111112,0.6722006080357619,13.812486111111111,72001.0,2.339687017525041,35.0,2.0,36
59,72000.0,72000.0,72000.0,0.6689027777777777,0.6822316120579422,14.01623611111111,72007.0,2.35088620689421,36.0,2.0,36
60,72000.0,70644.0,70644.0,0.6684502576298058,0.5107806263473875,10.37507785516109,70646.0,2.180648087624221,36.0,,36
61,72000.0,71510.0,71510.0,0.668423996643826,0.5889950592670097,12.065850929939868,71500.0,2.2567087761494187,36.0,2.0,36
62,72000.0,70526.0,70526.0,0.6672291069960015,0.46674287031817435,9.487735019709044,70538.0,2.1346548474589198,36.0,,34
63,72000.0,67829.0,67829.0,0.6695956007017647,0.6768089080731561,13.14172404133925,67819.0,2.346124776726004,35.0,,34
64,72000.0,66940.0,66940.0,0.6648192411114431,0.5156636523936946,9.959023005676725,66949.0,2.1800455469536946,34.0,,32
65,72000.0,66076.0,66076.0,0.6681851201646589,1.313229798780284,24.546749197893334,66061.0,2.9816576790423666,33.0,15.0,34
66,72000.0,67207.0,67207.0,0.6674751141994137,0.5510097411002529,10.660362759831566,67219.0,2.2182349609849354,33.0,,36
67,72000.0,71898.0,71898.0,0.667904531419511,0.6491900739233867,13.33355587081699,71894.0,2.3160148818698345,35.0,,36
68,72000.0,72000.0,72000.0,0.6624166666666667,0.6647342811519231,13.663430555555555,71994.0,2.3267433779172717,36.0,,36
69,72000.0,70852.0,70852.0,0.6669536498616835,0.5207721717120882,10.601761418167447,70863.0,2.1894367014247584,36.0,,30
70,72000.0,62913.0,62913.0,0.6674455200038147,1.8605005232248857,33.026544593327294,62878.0,3.5275621523107095,33.0,67.0,30
71,72000.0,60236.0,60236.0,0.6671591739159307,0.8011697898494478,13.828524470416362,60271.0,2.4693371167591844,30.0,3.0,20
72,72000.0,39908.0,39908.0,0.664378069559988,0.8573364781904942,10.04861180715646,39908.0,2.5210510331054623,25.0,6.0,19
73,72000.0,35047.0,35047.0,0.6700716181128199,0.3297909674612668,3.6008788198704598,35069.0,2.000112547466324,19.5,,14
74,72000.0,26494.0,26494.0,0.6656978938627613,0.5148232360278858,4.2724390428021435,26488.0,2.178305548438419,16.5,,14
75,72000.0,29413.0,29413.0,0.6647400809166015,2.1106657431307316,17.875463230544316,29402.0,3.7759043027147743,14.0,66.0,14
76,72000.0,28758.0,28758.0,0.6680575839766326,1.5602138034522175,13.072605883580222,28757.0,3.2273881361248047,14.0,10.0,20
77,72000.0,37844.0,37844.0,0.6668428284536518,0.4106652031444318,4.729204101046401,37860.0,2.0779668246160394,17.0,2.0,28
78,72000.0,48125.0,48125.0,0.668612987012987,0.09459854044705242,1.486587012987013,48121.0,1.7641493750619925,24.0,,28
79,72000.0,54433.0,54433.0,0.6707879411386475,0.4891711050551776,7.820917458159572,54423.0,2.1598595154542246,28.0,,30
80,72000.0,59550.0,59550.0,0.6643492863140218,0.6334754507571455,10.892745591939546,59544.0,2.297123031412301,29.0,,32
81,72000.0,63250.0,63250.0,0.6685533596837945,0.578638719698349,10.557754940711462,63245.0,2.2460139922104867,31.0,,32
82,72000.0,64238.0,64238.0,0.6668482829477879,0.7683802961193789,14.11460506242411,64237.0,2.435124977497745,32.0,,32
