,periodIndex,totalInQueue,requestStartWaiting,arrivalEvent,requestWaitingTime,requestProcessed,totalTimeInSystem,requestCancelled,nextPeriodOptimalServers,CurrentPeriodNumberOfServers,periodReward,nextPeriodReward
78,78,8.781952024368575,46906,46906,0.5909718606944642,46910,2.258117692510057,0.0,28.0,24,39710.0,46168.0
79,79,9.72436461656948,54577,54577,0.5674185624751785,54574,2.2366377922627647,2.0,30.0,28,46168.0,49962.0
80,80,11.325323954091076,58969,58969,0.6242280924077971,58962,2.2924463227438805,0.0,32.0,30,49962.0,53933.0
81,81,14.142006473922024,63533,63533,0.7325826792696352,63533,2.396297845225112,0.0,32.0,32,53933.0,55003.0
82,82,19.45217172985187,64627,64627,1.0157204741622732,64633,2.683912843893148,10.0,33.0,32,55003.0,55779.0
83,83,14.766239244137,65695,65695,0.7396206184235371,65691,2.4071591331378803,4.0,33.0,33,55779.0,56210.0
84,84,17.67836060216108,66144,66144,0.8724346620446297,66125,2.537743876597446,5.0,33.0,33,56210.0,55110.0
85,85,13.46986567691764,65000,65000,0.6705268225513349,65013,2.339402094044568,1.0,32.0,33,55110.0,53872.0
86,86,13.61657853775928,63464,63464,0.7112330325937142,63478,2.378456025472681,2.0,31.0,32,53872.0,51930.0
87,87,13.169541925555672,61240,61240,0.7036415802959284,61236,2.3716587442578434,2.0,30.0,31,51930.0,50756.0
88,88,14.668723526044648,59749,59749,0.8131376505100597,59756,2.481979207815426,0.0,30.0,30,50756.0,49749.0
89,89,10.762334271044896,58754,58754,0.5901990892900644,58749,2.256788505017695,0.0,31.0,30,49749.0,51924.0
90,90,13.053719538513583,61222,61222,0.6930240733083195,61227,2.3599131046432817,1.0,33.0,31,51924.0,55520.0
91,91,14.569705194903111,65454,65454,0.728179321418475,65435,2.393406183994637,5.0,33.0,33,55520.0,56093.0
92,92,16.37501670556064,66000,66000,0.8274413835706425,65996,2.494856667850112,1.0,32.0,33,56093.0,54636.0
93,93,16.19624837620161,64242,64242,0.850808914195616,64248,2.5188625694972004,4.0,29.0,32,54636.0,47426.0
94,94,9.444668477217238,56116,56116,0.5285681217448956,56126,2.2005989020765884,0.0,27.0,29,47426.0,45897.0
95,95,13.448776508972268,53992,53992,0.8326901308200788,53997,2.500440980061486,0.0,24.0,27,45897.0,40875.0
96,96,12.846697487324889,48074,48074,0.8745456400822226,48078,2.541480022841957,1.0,20.0,24,40875.0,32480.0
97,97,6.794444444444444,38475,38475,0.5274981825974279,38480,2.195794111469175,0.0,19.0,20,32480.0,29999.0
98,98,5.430228334826509,35690,35690,0.4179232198078661,35699,2.089241685308401,0.0,18.0,19,29999.0,29411.0
99,99,6.949682763482552,34819,34819,0.5939662588518063,34811,2.260092489473887,0.0,19.0,18,29411.0,30455.0
100,100,6.272021668866937,36154,36154,0.4925052907849048,36155,2.1627280644614206,0.0,22.0,19,30455.0,35842.0
