,periodIndex,arrivalEvent,requestStartWaiting,requestType,requestWaitingTime,totalInQueue,requestProcessed,totalTimeInSystem,requestCancelled,nextPeriodOptimalServers,CurrentPeriodNumberOfServers,periodReward,nextPeriodReward
93,93,67412,67412,0.66317569572183,0.6667957770303018,12.98516584584347,67416,2.329998090595453,0.0,29.0,34,57216.0,48511.0
94,94,57195,57195,0.6673485444531865,0.653245943814877,10.884500393391033,57211,2.3205299444830088,0.0,28.0,29,48511.0,46618.0
95,95,55018,55018,0.6689810607437566,0.639581936626921,10.265676687629504,55018,2.30847415296088,0.0,24.0,28,46618.0,40074.0
96,96,47266,47266,0.6667160326661871,0.6996030146887176,9.691406084712057,47280,2.3652851958776893,2.0,20.0,24,40074.0,32878.0
97,97,38879,38879,0.6704133336762776,0.634345286015002,7.344864837058567,38878,2.304421492967069,0.0,19.0,20,32878.0,30055.0
98,98,35763,35763,0.6676453317674692,0.3855450807402834,4.247098957022621,35755,2.052397072122106,0.0,19.0,19,30055.0,31181.0
99,99,36881,36881,0.6704807353379789,0.606288798187392,6.720994550039316,36881,2.2774261695881304,0.0,19.0,19,31181.0,31455.0
100,100,37164,37164,0.6654558174577548,0.6591176938918025,7.319664191152729,37167,2.3246903014318816,4.0,23.0,19,31455.0,38030.0
101,101,44940,44940,0.6657320872274143,0.6340825717163805,8.452937249666222,44930,2.3009965003020145,0.0,29.0,23,38030.0,48011.0
102,102,56721,56721,0.6665432555843515,0.5946790532826075,9.893249413797358,56711,2.260917474650528,0.0,33.0,29,48011.0,55016.0
103,103,64900,64900,0.6677349768875193,0.6229096786256719,11.755392912172573,64916,2.2899863679491186,0.0,36.0,33,55016.0,60467.0
104,104,71290,71290,0.6656473558703886,0.6776677646289554,13.9611305933511,71267,2.3440795339717324,0.0,38.0,36,60467.0,65606.0
105,105,77080,77080,0.6654903995848469,1.00128734143426,22.013907628437988,77060,2.666873978627004,18.0,39.0,38,65606.0,66114.0
