,periodIndex,totalInQueue,requestStartWaiting,arrivalEvent,requestWaitingTime,requestProcessed,totalTimeInSystem,requestCancelled,nextPeriodOptimalServers,CurrentPeriodNumberOfServers,nextPeriodReward,periodReward
147,147,5.000336021505376,38759,38759,0.3165518265745159,38753,1.815246444718313,0.0,21.0,20,33883.0,32753.0
148,148,4.831096356924133,40168,40168,0.2800038453806055,40183,1.7796323769886622,0.0,24.0,21,40511.0,33883.0
149,149,6.669524503173447,47728,47728,0.3717781839002578,47711,1.873616112700481,0.0,31.0,24,51155.0,40511.0
150,150,6.448001886552869,60454,60454,0.282794096649671,60455,1.7826627785610794,0.0,35.0,31,60376.0,51155.0
151,151,9.586495580420328,70873,70873,0.3930961589113328,70876,1.892049934672608,0.0,39.0,35,65415.0,60376.0
152,152,8.204676541471473,77113,77113,0.2998454320838073,77115,1.797845019828878,0.0,41.0,39,69146.0,65415.0
153,153,8.743631334087766,81463,81463,0.3096538505857518,81446,1.810422943752884,0.0,42.0,41,70776.0,69146.0
154,154,8.8673504610681,83373,83373,0.3057243742186191,83376,1.805153022097197,0.0,43.0,42,74289.0,70776.0
155,155,10.880233116514605,87193,87193,0.3723437521282879,87189,1.8690349841111256,0.0,42.0,43,72864.0,74289.0
156,156,10.966575211218537,85456,85456,0.387738446789563,85464,1.8887181698501097,0.0,41.0,42,70677.0,72864.0
157,157,10.626788898541449,82982,82982,0.380987069966068,82977,1.8822965767407476,0.0,41.0,41,69760.0,70677.0
158,158,9.814183987682831,82051,82051,0.3427193154332681,82060,1.8443120080017457,0.0,39.0,41,66911.0,69760.0
159,159,9.54150518584136,78636,78636,0.3549002554318505,78611,1.8536644153323216,0.0,40.0,39,67130.0,66911.0
160,160,8.182793437105595,79108,79108,0.2940600744904317,79130,1.79586697106138,0.0,39.0,40,66110.0,67130.0
161,161,8.931673585851446,77817,77817,0.3311136792920343,77810,1.8329097398138865,0.0,39.0,39,67237.0,66110.0
162,162,9.65499107327204,78925,78925,0.3618382744000661,78937,1.860541392578983,0.0,42.0,39,70760.0,67237.0
163,163,8.667370488583353,83360,83360,0.3012751890653709,83360,1.8028095141810796,0.0,43.0,42,74309.0,70760.0
164,164,10.749138024503958,87224,87224,0.3686708711207894,87209,1.8665089147916885,0.0,42.0,43,71252.0,74309.0
165,165,9.00101720877911,83840,83840,0.3146056556631489,83852,1.8152826830139035,0.0,37.0,42,63630.0,71252.0
166,166,9.554430638646007,74730,74730,0.3722009110626121,74730,1.873512982733188,0.0,36.0,37,60153.0,63630.0
167,167,7.947836868440863,70966,70966,0.3067732935675268,70953,1.8065773626193216,0.0,20.0,36,32016.0,60153.0
168,168,4.880185721177038,37998,37998,0.2906918209507743,38016,1.7915208290868905,0.0,16.0,20,25998.0,32016.0
169,169,4.331745863759833,30789,30789,0.3229894820769613,30798,1.824907495543844,0.0,16.0,16,25263.0,25998.0
170,170,3.977291608972584,30066,30066,0.2798608940306753,30063,1.7798299996258615,0.0,16.0,16,24700.0,25263.0
171,171,3.58948584138934,29495,29495,0.2502602503802222,29500,1.7548804254122472,0.0,16.0,16,25836.0,24700.0
172,172,4.452323774544428,30635,30635,0.3322129414697269,30636,1.833149743950334,0.0,20.0,16,32246.0,25836.0
173,173,4.93344039971449,38255,38255,0.2978170490205955,38246,1.7985350052685911,0.0,24.0,20,40095.0,32246.0
174,174,6.341087137292661,47295,47295,0.3478583033844987,47295,1.8476277418171565,0.0,27.0,24,45672.0,40095.0
175,175,6.748894219956519,53773,53773,0.3415568989398135,53772,1.839671337091722,0.0,30.0,27,50185.0,45672.0
176,176,7.20775318390664,59188,59188,0.3241316973032182,59185,1.8251126252657168,0.0,32.0,30,54092.0,50185.0
177,177,7.433362992151006,63686,63686,0.3284200267043636,63692,1.8283515041544955,0.0,33.0,32,55023.0,54092.0
178,178,7.142593951251325,64922,64922,0.2992049065254212,64923,1.7980941415154097,0.0,34.0,33,57701.0,55023.0
179,179,8.21433064645903,67911,67911,0.3439444020954632,67901,1.844010695436804,0.0,32.0,34,54787.0,57701.0
180,180,8.464221449136277,64383,64383,0.3774633394721743,64387,1.8781791164505095,0.0,32.0,32,54136.0,54787.0
181,181,7.811944571149944,63751,63751,0.3412265235079304,63736,1.8404254868627423,0.0,32.0,32,53444.0,54136.0
182,182,7.4725056596345025,63027,63027,0.3196023452248075,63044,1.8237845814847675,0.0,31.0,32,51804.0,53444.0
183,183,7.227091633466135,61105,61105,0.3162865893325488,61104,1.813779555097149,0.0,31.0,31,52576.0,51804.0
184,184,8.541293913154412,61884,61884,0.3744789929053482,61876,1.8738180915752125,0.0,31.0,31,52829.0,52576.0
185,185,7.60749244904091,62130,62130,0.3474306477881551,62129,1.8463175763389224,0.0,31.0,31,52205.0,52829.0
186,186,7.577011991285113,61506,61506,0.3340137909250048,61505,1.8328836644585655,0.0,33.0,31,55899.0,52205.0
187,187,8.037164780065334,65791,65791,0.3417535303282951,65799,1.84384899661592,0.0,34.0,33,56427.0,55899.0
188,188,6.884134840155411,66646,66646,0.2817973222043339,66627,1.7845317126441342,0.0,33.0,34,55390.0,56427.0
189,189,7.4459045674917075,65276,65276,0.3124806006196613,65290,1.811135811518956,0.0,29.0,33,49068.0,55390.0
190,190,7.618295829275377,57759,57759,0.3638784677289196,57768,1.869486373065429,0.0,26.0,29,44466.0,49068.0
191,191,7.609804461580832,52257,52257,0.3996089495320747,52266,1.8977212038795983,0.0,21.0,26,33530.0,44466.0
192,192,4.2644618159951895,39832,39832,0.2501571349212518,39830,1.749457245932687,0.0,17.0,21,26907.0,33530.0
193,193,4.300465014096884,32004,32004,0.2901670780912144,32007,1.789852030304298,0.0,16.0,17,25543.0,26907.0
194,194,4.1323293097649385,30351,30351,0.2995006336427515,30343,1.799234609012379,0.0,15.0,16,23179.0,25543.0
195,195,3.697291893856779,27661,27661,0.2605904438136422,27679,1.7574622715761474,0.0,15.0,15,24776.0,23179.0
196,196,5.0406715126341295,29280,29280,0.398796618462663,29276,1.895250309218692,0.0,19.0,15,31560.0,24776.0
197,197,5.467014454950549,37271,37271,0.3717193345015882,37260,1.8780592028422043,0.0,24.0,19,38924.0,31560.0
198,198,5.180569185475957,46129,46129,0.2792379245521288,46124,1.7782601350974117,0.0,27.0,24,45709.0,38924.0
199,199,7.361374580475704,53816,53816,0.3722492314305345,53809,1.8759616659957956,0.0,30.0,27,51139.0,45709.0
200,200,7.722974953587597,60143,60143,0.3610111684057827,60139,1.8615641298925831,0.0,32.0,30,53778.0,51139.0
201,201,7.37903748864963,63368,63368,0.3228318194861382,63378,1.822726739160058,0.0,34.0,32,56627.0,53778.0
202,202,7.417168481742473,66824,66824,0.2955137050732488,66827,1.7936216526670867,0.0,33.0,34,56433.0,56627.0
203,203,8.223638402077064,66353,66353,0.3547187438250077,66333,1.852838960722118,0.0,32.0,33,54416.0,56433.0
204,204,8.266240157480315,64007,64007,0.360427722510715,64016,1.8624006169372087,0.0,32.0,32,53702.0,54416.0
205,205,7.072614820753636,63312,63312,0.3082985769678774,63302,1.8081545274185231,0.0,32.0,32,53705.0,53702.0
206,206,7.283307055577453,63280,63280,0.3148378151305737,63305,1.8131450329553076,0.0,31.0,32,51624.0,53705.0
207,207,6.857147807405097,60936,60936,0.3061540745517833,60924,1.8066565995421653,0.0,30.0,31,50068.0,51624.0
208,208,6.7380227329060585,59069,59069,0.3073509078090593,59068,1.8091069509996436,0.0,29.0,30,49128.0,50068.0
209,209,7.741265121308373,57823,57823,0.3675124954548573,57828,1.8733823036989008,0.0,30.0,29,51211.0,49128.0
210,210,7.79456632282435,60227,60227,0.3655022583922147,60211,1.8655351535422244,0.0,33.0,30,54658.0,51211.0
211,211,6.9735783935931375,64546,64546,0.2872366626130607,64558,1.7860759257747414,0.0,34.0,33,56504.0,54658.0
212,212,7.3758338799212915,66702,66702,0.2957373415505699,66704,1.7926716925847734,0.0,33.0,34,55277.0,56504.0
213,213,7.494986282468835,65180,65180,0.3105229185017815,65177,1.8084276968921933,0.0,29.0,33,49300.0,55277.0
214,214,7.812508483779014,57988,57988,0.3688483172336032,58000,1.8672928786472789,0.0,27.0,29,45254.0,49300.0
215,215,6.821793984152627,53353,53353,0.3352698982966102,53354,1.834417979140446,0.0,22.0,27,36526.0,45254.0
216,216,6.165391207783116,43129,43129,0.3519962159808992,43126,1.8505743806392132,0.0,17.0,22,28376.0,36526.0
217,217,5.243494480628688,33468,33468,0.382541928007791,33476,1.876225223662147,0.0,17.0,17,27822.0,28376.0
218,218,5.002392115587025,32926,32926,0.3569560331246185,32922,1.859119231315679,0.0,17.0,17,27865.0,27822.0
219,219,5.546603425224422,32976,32976,0.3807507502354612,32965,1.8780148247121409,0.0,18.0,17,29385.0,27865.0
220,220,4.788127487581376,34782,34782,0.3283764198621182,34785,1.828462130111076,0.0,19.0,18,32155.0,29385.0
221,221,6.470502365851203,37856,37856,0.4362127690310029,37855,1.9377119219467056,0.0,27.0,19,44148.0,32155.0
222,222,5.682308705442495,52244,52244,0.2792843811448868,52248,1.781141993396213,0.0,31.0,27,50968.0,44148.0
223,223,6.462260511765463,60256,60256,0.2816254149591307,60268,1.7826491619251923,0.0,32.0,31,54636.0,50968.0
224,224,8.341792834657472,64258,64258,0.3715162401120936,64236,1.8746308741354476,0.0,35.0,32,58944.0,54636.0
225,225,8.084230208624726,69439,69439,0.3222107630537495,69444,1.820551371299459,0.0,35.0,35,60108.0,58944.0
226,226,8.939739124496347,70630,70630,0.3640598852329564,70608,1.863411094822677,0.0,37.0,35,62548.0,60108.0
227,227,8.474733476942497,73627,73627,0.3283633081463672,73648,1.8289607227863511,0.0,36.0,37,61453.0,62548.0
228,228,9.426757799282669,72255,72255,0.363672880409992,72253,1.8629496779758177,0.0,36.0,36,60506.0,61453.0
229,229,7.6719261084453665,71322,71322,0.307168181893986,71306,1.8085457646885776,0.0,35.0,36,59425.0,60506.0
230,230,8.38674600796267,69915,69915,0.3387607307471459,69925,1.8386524609088315,0.0,34.0,35,56743.0,59425.0
231,231,7.660606820461384,66940,66940,0.311116967454386,66943,1.8112141538254627,0.0,33.0,34,55682.0,56743.0
232,232,7.679255220273871,65589,65589,0.3277591065754323,65582,1.8277152403235803,0.0,33.0,33,56033.0,55682.0
